; Data from the Hydrology report (gaps fille),,,
Year,Month,Flow_obs,Flow_int
1976,6,4.47,4.47
1976,7,2.46,2.46
1976,8,1.23,1.23
1976,9,4.42,4.42
1976,10,1.87,1.87
1976,11,3.79,3.79
1976,12,6.48,6.48
1977,1,5.46,5.46
1977,2,2.74,2.74
1977,3,5.05,5.05
1977,4,8.88,8.88
1977,5,2.09,2.09
1977,6,1.67,1.67
1977,7,3.69,3.69
1977,8,2.47,2.47
1977,9,4.44,4.44
1977,10,8.77,8.77
1977,11,10.83,10.83
1977,12,11.45,11.45
1978,1,5,5
1978,2,3.86,3.86
1978,3,7.02,7.02
1978,4,6.78,6.78
1978,5,9.22,9.22
1978,6,2.36,2.36
1978,7,1.71,1.71
1978,8,1.37,1.37
1978,9,NA,1.39
1978,10,NA,0
1978,11,6.37,6.37
1978,12,7.32,7.32
1979,1,4.76,4.76
1979,2,3.41,3.41
1979,3,6.32,6.32
1979,4,4.13,4.13
1979,5,8.51,8.51
1979,6,8.22,8.22
1979,7,2.01,2.01
1979,8,1.77,1.77
1979,9,1.81,1.81
1979,10,1.94,1.94
1979,11,4.53,4.53
1979,12,2.75,2.75
1980,1,1.78,1.78
1980,2,NA,1.5
1980,3,NA,1.7
1980,4,3.35,3.35
1980,5,1.85,1.85
1980,6,1.36,1.36
1980,7,NA,2.4
1980,8,16.75,16.75
1980,9,1.75,1.75
1980,10,NA,0.42
1980,11,6.37,6.37
1980,12,5.98,5.98
1981,1,1.81,1.81
1981,2,NA,0
1981,3,14.26,14.26
1981,4,6.77,6.77
1981,5,3.12,3.12
1981,6,2.43,2.43
1981,7,1.49,1.49
1981,8,0.69,0.69
1981,9,2.76,2.76
1981,10,3.73,3.73
1981,11,3.68,3.68
1981,12,5.32,5.32
1982,1,1.94,1.94
1982,2,1.19,1.19
1982,3,0.02,0.02
1982,4,4.06,4.06
1982,5,20.33,20.33
1982,6,3.18,3.18
1982,7,2.9,2.9
1982,8,1.73,1.73
1982,9,1.73,1.73
1982,10,4.19,4.19
1982,11,3.76,3.76
1982,12,4.87,4.87
1983,1,1.04,1.04
1983,2,NA,0
1983,3,NA,3.5
1983,4,2.34,2.34
1983,5,5.99,5.99
1983,6,4.59,4.59
1983,7,2.11,2.11
1983,8,1.53,1.53
1983,9,1.95,1.95
1983,10,1.09,1.09
1983,11,0.97,0.97
1983,12,1.56,1.56
1984,1,1.32,1.32
1984,2,NA,0
1984,3,NA,1.6
1984,4,6.77,6.77
1984,5,NA,3.47
1984,6,1.82,1.82
1984,7,1.78,1.78
1984,8,0.74,0.74
1984,9,NA,0.75
1984,10,1.58,1.58
1984,11,6.28,6.28
1984,12,4.06,4.06
1985,1,3.52,3.52
1985,2,4.56,4.56
1985,3,1.3,1.3
1985,4,2.18,2.18
1985,5,5.24,5.24
1985,6,1.06,1.06
1985,7,3.78,3.78
1985,8,1.84,1.84
1985,9,NA,0.75
1985,10,NA,0.69
1985,11,2.99,2.99
1985,12,3.8,3.8
1986,1,1.3,1.3
1986,2,1.26,1.26
1986,3,5.42,5.42
1986,4,6.75,6.75
1986,5,11.08,11.08
1986,6,5.65,5.65
1986,7,1.32,1.32
1986,8,NA,1.5
1986,9,0,0
1986,10,1.5,1.5
1986,11,4.88,4.88
1986,12,6.09,6.09
1987,1,2.65,2.65
1987,2,1.02,1.02
1987,3,NA,0
1987,4,3.88,3.88
1987,5,12.18,12.18
1987,6,1.75,1.75
1987,7,1.65,1.65
1987,8,2.75,2.75
1987,9,1.51,1.51
1987,10,NA,1.8
1987,11,NA,0.51
1987,12,1.87,1.87
1988,1,4.38,4.38
1988,2,1.13,1.13
1988,3,7.57,7.57
1988,4,8.28,8.28
1988,5,2.41,2.41
1988,6,7.14,7.14
1988,7,1.28,1.28
1988,8,0.89,0.89
1988,9,1.15,1.15
1988,10,NA,1.3
1988,11,3.61,3.61
1988,12,3.8,3.8
1989,1,4.32,4.32
1989,2,NA,0
1989,3,3.86,3.86
1989,4,4.46,4.46
1989,5,4.76,4.76
1989,6,1.97,1.97
1989,7,NA,0.94
1989,8,NA,0.94
1989,9,NA,4.2
1989,10,NA,5.8
1989,11,2.61,2.61
1989,12,3.63,3.63
1990,1,2.4,2.4
1990,2,1.07,1.07
1990,3,NA,8.4
1990,4,4.06,4.06
1990,5,2.29,2.29
